DATE,PRODUCTS_NAME,CATEGORIES_NAME,FAMILIES_NAME,HOUR,DAYOFWEEK,NB_PRODUCTS,NB_CATEGORIES,NB_FAMILIES,910f14c0-a097-11e7-a71a-59d0cc270698,beaaf430-a097-11e7-a71a-59d0cc270698,ca268f40-a097-11e7-a71a-59d0cc270698,d3b46410-a097-11e7-a71a-59d0cc270698,db823960-a097-11e7-a71a-59d0cc270698,e74b7f40-a097-11e7-a71a-59d0cc270698,f45ad9b0-a097-11e7-a71a-59d0cc270698,05ed4b40-a098-11e7-a71a-59d0cc270698,121022d0-a098-11e7-a71a-59d0cc270698,2c6b9290-a098-11e7-a71a-59d0cc270698,32b40060-a098-11e7-a71a-59d0cc270698,37e64340-a098-11e7-a71a-59d0cc270698
Saturday 17/02/2018 11:51:05,Fromage bleu,Fromages,Produits laitiers,11,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Saturday 10/02/2018 16:56:20,Cordon bleu|Saucisses|Lard|Jambon|Papier toilette|Glace,Traiteur|Charcuterie|Charcuterie|Charcuterie|Soin du corps|Glaces,Épicerie salée|Viandes|Viandes|Viandes|Hygiène et beauté|Produits surgelés,16,6,6,4,4,3,0,0,0,0,1,1,1,0,0,0,0
Saturday 10/02/2018 11:13:49,Champignons|Poivron rouge|Courgette|Persil|Fromage frais|Fromage de chèvre|Eau|Jus de pomme|Jus d'orange|Jus de fruits|Coca-cola|Chips|Crème fraîche|Dentifrice|Thon en conserve|Lessive en poudre,Légumes|Légumes|Légumes|Herbes aromatiques|Fromages|Fromages|Eau|Jus de fruits et sodas|Jus de fruits et sodas|Jus de fruits et sodas|Jus de fruits et sodas|Apéritif|Crèmerie|Soin du corps|Conserves salées|Lavage,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits laitiers|Produits laitiers|Boissons|Boissons|Boissons|Boissons|Boissons|Épicerie salée|Produits laitiers|Hygiène et beauté|Épicerie salée|Produits d'entretien,11,6,16,10,6,0,3,0,4,1,2,0,1,5,0,0,0
Wednesday 07/02/2018 10:29:50,Lard|Saucisses|Raisin,Charcuterie|Charcuterie|Fruits,Viandes|Viandes|Fruits et légumes,10,3,3,2,2,2,0,0,1,0,0,0,0,0,0,0,0
Monday 05/02/2018 10:25:53,Saucisses|Carottes|Beurre|Bananes|Orange|Champignons|Salade|Tomates cerise|Pommes de terre|Lardons fumés|Yaourts|Jus de pomme|Bières|Pâte brisée|Brioche|Tisane|Pain de mie|Gâteaux|Pâtes alimentaires|Nutella,Charcuterie|Légumes|Crèmerie|Fruits|Fruits|Légumes|Légumes|Fruits|Légumes|Charcuterie|Crèmerie|Jus de fruits et sodas|Bières et vins|Pains|Viennoiseries|Petit déjeuner|Pains|Gâteaux|Pates et riz|Petit déjeuner,Viandes|Fruits et légumes|Produits laitiers|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Viandes|Produits laitiers|Boissons|Boissons|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Épicerie salée|Épicerie sucrée|Épicerie salée|Épicerie sucrée,10,1,20,11,6,2,2,0,7,0,3,0,0,2,0,4,0
Saturday 27/01/2018 16:48:12,Jambon|Lard|Paté|Orange|Clémentine|Bananes|Tomates cerise|Pommes de terre|Persil|Mâche|Fromage râpé|Fromage frais|Feta|Lait|Oeufs|Crème fraîche|Parmesan|Reblochon|Saumon fumé|Crème de cassis|Clairette de die|Cidre|Coca-cola|Chips|Thon en conserve|Farine|Gâteaux|Galettes de blé noir|Film étirable,Charcuterie|Charcuterie|Charcuterie|Fruits|Fruits|Fruits|Fruits|Légumes|Herbes aromatiques|Légumes|Fromages|Fromages|Fromages|Laitages et oeufs|Laitages et oeufs|Crèmerie|Fromages|Fromages|Produits préparés de la mer|Alcools forts|Bières et vins|Bières et vins|Jus de fruits et sodas|Apéritif|Conserves salées|Pâtisserie|Gâteaux|Traiteur|Cuisine,Viandes|Viandes|Viandes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Produits de la mer|Boissons|Boissons|Boissons|Boissons|Épicerie salée|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Épicerie salée|Quincaillerie,16,6,29,17,8,3,8,1,7,0,3,0,0,4,0,2,1
Wednesday 24/01/2018 15:29:24,Ail|Bouillon de volailles|Thé,Bulbes|Assaisonnements et condiments|Petit déjeuner,Fruits et légumes|Épicerie salée|Épicerie sucrée,15,3,3,3,3,0,0,0,1,0,1,0,0,0,0,1,0
Saturday 20/01/2018 17:14:30,Escalope de dinde|Saucisses|Saumon fumé|Pâte brisée|Salade|Fromage râpé|Cidre|Jus de fruits,Boucherie|Charcuterie|Produits préparés de la mer|Pains|Légumes|Fromages|Bières et vins|Jus de fruits et sodas,Viandes|Viandes|Produits de la mer|Épicerie salée|Fruits et légumes|Produits laitiers|Boissons|Boissons,17,6,8,8,6,2,1,1,1,0,1,0,0,2,0,0,0
Saturday 20/01/2018 08:43:02,Carottes,Légumes,Fruits et légumes,8,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Saturday 13/01/2018 16:46:52,Bières|Savon liquide|Reblochon|Fromage râpé|Epinards|Tomates cerise|Pomme|Jus de pomme|Coca-cola|Glace,Bières et vins|Soin du corps|Fromages|Fromages|Légumes|Fruits|Fruits|Jus de fruits et sodas|Jus de fruits et sodas|Glaces,Boissons|Hygiène et beauté|Produits laitiers|Produits laitiers|Fruits et légumes|Fruits et légumes|Fruits et légumes|Boissons|Boissons|Produits surgelés,16,6,10,7,5,0,2,0,3,0,0,1,1,3,0,0,0
Saturday 13/01/2018 14:50:14,Haricots rouges,Conserves salées,Épicerie salée,14,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Saturday 13/01/2018 11:23:26,Paté|Lard|Escalope viennoise,Charcuterie|Charcuterie|Traiteur,Viandes|Viandes|Épicerie salée,11,6,3,2,2,2,0,0,0,0,1,0,0,0,0,0,0
Wednesday 10/01/2018 20:58:32,Carottes|Orange|Clémentine|Steak haché|Saucisses,Légumes|Fruits|Fruits|Boucherie|Charcuterie,Fruits et légumes|Fruits et légumes|Fruits et légumes|Viandes|Viandes,20,3,5,4,2,2,0,0,3,0,0,0,0,0,0,0,0
Wednesday 10/01/2018 15:40:12,Lessive en poudre|Sac poubelle|Bananes|Oignon|Beurre|Oeufs|Dentifrice pour enfant|Fromage croque monsieur|Yaourts|Haricots rouges|Sauce fajitas|Galettes fajitas|Cornichons|Gâteaux|Brioche|Nutella|Produit vaisselle|Jus d'orange|Jus de fruits|Jus de pomme|Cidre,Lavage|Accessoires d'entretien|Fruits|Bulbes|Crèmerie|Laitages et oeufs|Soin du corps|Fromages|Crèmerie|Conserves salées|Assaisonnements et condiments|Produits du monde|Assaisonnements et condiments|Gâteaux|Viennoiseries|Petit déjeuner|Lavage|Jus de fruits et sodas|Jus de fruits et sodas|Jus de fruits et sodas|Bières et vins,Produits d'entretien|Produits d'entretien|Fruits et légumes|Fruits et légumes|Produits laitiers|Produits laitiers|Hygiène et beauté|Produits laitiers|Produits laitiers|Épicerie salée|Épicerie salée|Épicerie salée|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Épicerie sucrée|Produits d'entretien|Boissons|Boissons|Boissons|Boissons,15,3,21,16,7,0,4,0,2,3,4,0,1,4,0,3,0
Wednesday 10/01/2018 12:05:29,Petits pois|Tomates cerise|Jambon|Brosse à dents,Légumes|Fruits|Charcuterie|Soin du corps,Fruits et légumes|Fruits et légumes|Viandes|Hygiène et beauté,12,3,4,4,3,1,0,0,2,0,0,0,1,0,0,0,0
Tuesday 09/01/2018 15:21:07,Champignons|Tomates cerise|Persil,Légumes|Fruits|Herbes aromatiques,Fruits et légumes|Fruits et légumes|Fruits et légumes,15,2,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0
Thursday 04/01/2018 16:59:08,Carottes|Avocat|Salade|Epinards|Bananes|Pomme|Haricots verts|Pommes de terre|Cordon bleu|Pâte brisée|Oeufs|Lardons fumés|Beurre|Yaourts|Bières|Jus de pomme|Jus de fruits|Moutarde|Chips|Gâteaux|Brioche|Tisane|Boîte de mouchoirs|Sopalin|Sucre en poudre,Légumes|Légumes|Légumes|Légumes|Fruits|Fruits|Légumes|Légumes|Traiteur|Pains|Laitages et oeufs|Charcuterie|Crèmerie|Crèmerie|Bières et vins|Jus de fruits et sodas|Jus de fruits et sodas|Assaisonnements et condiments|Apéritif|Gâteaux|Viennoiseries|Petit déjeuner|Soin du corps|Accessoires d'entretien|Pâtisserie,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Épicerie salée|Épicerie salée|Produits laitiers|Viandes|Produits laitiers|Produits laitiers|Boissons|Boissons|Boissons|Épicerie salée|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Épicerie sucrée|Hygiène et beauté|Produits d'entretien|Épicerie sucrée,16,4,25,17,8,1,3,0,8,1,4,0,1,3,0,4,0
Wednesday 03/01/2018 17:25:41,Escalope de dinde,Boucherie,Viandes,17,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Saturday 30/12/2017 09:53:00,Carottes|Haricots verts|Champignons|Clémentine|Yaourts|Orange|Steak haché|Lard|Jus d'orange|Jus de pomme|Papier toilette|Pâtes alimentaires|Gâteaux|Brioche|Vinaigrette|Sauce tomate|Lessive en poudre|Produit lave-vaisselle|Éponge (grattoir) vaiselle,Légumes|Légumes|Légumes|Fruits|Crèmerie|Fruits|Boucherie|Charcuterie|Jus de fruits et sodas|Jus de fruits et sodas|Soin du corps|Pates et riz|Gâteaux|Viennoiseries|Assaisonnements et condiments|Assaisonnements et condiments|Lavage|Lavage|Cuisine,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits laitiers|Fruits et légumes|Viandes|Viandes|Boissons|Boissons|Hygiène et beauté|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Épicerie salée|Épicerie salée|Produits d'entretien|Produits d'entretien|Quincaillerie,9,6,19,13,9,2,1,0,5,2,3,0,1,2,0,2,1
Friday 29/12/2017 20:56:28,Produit vaisselle,Lavage,Produits d'entretien,20,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Friday 22/12/2017 17:33:26,Lard|Fromage de chèvre|Vinaigre de cidre|Vinaigrette|Chips|Pistaches|Jus de fruits|Bières|Eau|Reblochon|Oignon|Salade,Charcuterie|Fromages|Assaisonnements et condiments|Assaisonnements et condiments|Apéritif|Apéritif|Jus de fruits et sodas|Bières et vins|Eau|Fromages|Bulbes|Légumes,Viandes|Produits laitiers|Épicerie salée|Épicerie salée|Épicerie salée|Épicerie salée|Boissons|Boissons|Boissons|Produits laitiers|Fruits et légumes|Fruits et légumes,17,5,12,9,5,1,2,0,2,0,4,0,0,3,0,0,0
Saturday 16/12/2017 11:21:16,Pain|Clémentine|Pommes de terre|Courge|Tomates cerise|Champignons|Epinards|Crêpes|Oeufs|Cordon bleu|Lard|Yaourts|Saucisses|Pain de mie|Lentilles|Brioche|Jus de pomme|Jus de fruits|Jus d'orange|Bières|Eau|Produit vaisselle|Vinaigre blanc|Papier toilette|Gâteaux|Boîte de mouchoirs|Tablette de chocolat au lait|Bonbons|Brosse à dents,Pains|Fruits|Légumes|Légumes|Fruits|Légumes|Légumes|Petit déjeuner|Laitages et oeufs|Traiteur|Charcuterie|Crèmerie|Charcuterie|Pains|Conserves salées|Viennoiseries|Jus de fruits et sodas|Jus de fruits et sodas|Jus de fruits et sodas|Bières et vins|Eau|Lavage|Assaisonnements et condiments|Soin du corps|Gâteaux|Soin du corps|Petit déjeuner|Confiserie|Soin du corps,Épicerie salée|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Épicerie sucrée|Produits laitiers|Épicerie salée|Viandes|Produits laitiers|Viandes|Épicerie salée|Épicerie salée|Épicerie sucrée|Boissons|Boissons|Boissons|Boissons|Boissons|Produits d'entretien|Épicerie salée|Hygiène et beauté|Épicerie sucrée|Hygiène et beauté|Épicerie sucrée|Épicerie sucrée|Hygiène et beauté,11,6,29,18,8,2,2,0,6,1,5,0,3,5,0,5,0
Saturday 16/12/2017 08:40:12,Steak haché|Eau gazeuse|Saumon fumé,Boucherie|Eau|Produits préparés de la mer,Viandes|Boissons|Produits de la mer,8,6,3,3,3,1,0,1,0,0,0,0,0,1,0,0,0
Saturday 09/12/2017 16:23:15,Courge|Pomme|Saucisses|Jambon|Clémentine|Orange|Carottes|Epinards|Paté,Légumes|Fruits|Charcuterie|Charcuterie|Fruits|Fruits|Légumes|Légumes|Charcuterie,Fruits et légumes|Fruits et légumes|Viandes|Viandes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Viandes,16,6,9,3,2,3,0,0,6,0,0,0,0,0,0,0,0
Saturday 09/12/2017 11:07:51,Bananes|Tomates cerise|Champignons|Basilic|Reblochon|Noix|Galettes de blé noir|Fromage de chèvre|Fromage râpé|Beurre|Jus de pomme|Sirop de menthe|Eau|Gâteaux|Bières|Brioche|Sardine à l'huile|Sauce tomate|Chips|Yaourts|Châtaigne|Confiture,Fruits|Fruits|Légumes|Herbes aromatiques|Fromages|Fruits secs|Traiteur|Fromages|Fromages|Crèmerie|Jus de fruits et sodas|Jus de fruits et sodas|Eau|Gâteaux|Bières et vins|Viennoiseries|Conserves salées|Assaisonnements et condiments|Apéritif|Crèmerie|Fruits|Petit déjeuner,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits laitiers|Fruits et légumes|Épicerie salée|Produits laitiers|Produits laitiers|Produits laitiers|Boissons|Boissons|Boissons|Épicerie sucrée|Boissons|Épicerie sucrée|Épicerie salée|Épicerie salée|Épicerie salée|Produits laitiers|Fruits et légumes|Épicerie sucrée,11,6,22,16,5,0,5,0,6,0,4,0,0,4,0,3,0
Wednesday 06/12/2017 09:27:57,Parmesan,Fromages,Produits laitiers,9,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Saturday 02/12/2017 16:57:44,Eau|Cordon bleu|Jambon cru|Lard|Persil,Eau|Traiteur|Charcuterie|Charcuterie|Herbes aromatiques,Boissons|Épicerie salée|Viandes|Viandes|Fruits et légumes,16,6,5,4,4,2,0,0,1,0,1,0,0,1,0,0,0
Saturday 02/12/2017 11:43:51,Champignons|Courgette|Châtaigne|Galettes de blé noir|Yaourts|Jus de pomme|Bières|Beurre|Fromage croque monsieur|Pain de mie|Gâteaux|Miel|Boîte de mouchoirs|Papier toilette,Légumes|Légumes|Fruits|Traiteur|Crèmerie|Jus de fruits et sodas|Bières et vins|Crèmerie|Fromages|Pains|Gâteaux|Petit déjeuner|Soin du corps|Soin du corps,Fruits et légumes|Fruits et légumes|Fruits et légumes|Épicerie salée|Produits laitiers|Boissons|Boissons|Produits laitiers|Produits laitiers|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Hygiène et beauté|Hygiène et beauté,11,6,14,11,6,0,3,0,3,0,2,0,2,2,0,2,0
Wednesday 29/11/2017 11:16:12,Escalope de dinde|Carottes|Champignons|Lard|Beurre|Brioche|Produit vaisselle|Eau,Boucherie|Légumes|Légumes|Charcuterie|Crèmerie|Viennoiseries|Lavage|Eau,Viandes|Fruits et légumes|Fruits et légumes|Viandes|Produits laitiers|Épicerie sucrée|Produits d'entretien|Boissons,11,3,8,7,6,2,1,0,2,1,0,0,0,1,0,1,0
Saturday 25/11/2017 19:05:26,Jus d'orange|Jus de pomme,Jus de fruits et sodas|Jus de fruits et sodas,Boissons|Boissons,19,6,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0
Saturday 25/11/2017 17:35:25,Champignons|Fromage de chèvre|Oeufs|Epinards|Brioche|Yaourts|Crème fraîche|Pâte brisée,Légumes|Fromages|Laitages et oeufs|Légumes|Viennoiseries|Crèmerie|Crèmerie|Pains,Fruits et légumes|Produits laitiers|Produits laitiers|Fruits et légumes|Épicerie sucrée|Produits laitiers|Produits laitiers|Épicerie salée,17,6,8,6,4,0,4,0,2,0,1,0,0,0,0,1,0
Wednesday 22/11/2017 13:59:08,Savon liquide|Jambon|Andouille de Guéméné|Fromage râpé|Fromage de chèvre|Yaourts|Cordon bleu|Oignon|Bananes|Champignons|Oeufs|Beurre|Petits pois - carottes|Gâteaux|Céréales|Jus de pomme|Jus de fruits|Vin rouge|Eau|Bières,Soin du corps|Charcuterie|Charcuterie|Fromages|Fromages|Crèmerie|Traiteur|Bulbes|Fruits|Légumes|Laitages et oeufs|Crèmerie|Conserves salées|Gâteaux|Petit déjeuner|Jus de fruits et sodas|Jus de fruits et sodas|Bières et vins|Eau|Bières et vins,Hygiène et beauté|Viandes|Viandes|Produits laitiers|Produits laitiers|Produits laitiers|Épicerie salée|Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits laitiers|Produits laitiers|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Boissons|Boissons|Boissons|Boissons|Boissons,13,3,20,15,7,2,5,0,3,0,2,0,1,5,0,2,0
Saturday 18/11/2017 16:27:56,Steak haché|Lard|Saucisses|Parmesan,Boucherie|Charcuterie|Charcuterie|Fromages,Viandes|Viandes|Viandes|Produits laitiers,16,6,4,3,2,3,1,0,0,0,0,0,0,0,0,0,0
Saturday 18/11/2017 11:10:45,Poivron rouge|Tomates cerise|Pommes de terre|Fromage de chèvre|Yaourts|Fromage blanc|Pâte brisée|Crêpes|Thon|Pâtes alimentaires|Sucre en poudre|Sauce tomate,Légumes|Fruits|Légumes|Fromages|Crèmerie|Crèmerie|Pains|Petit déjeuner|Poissons|Pates et riz|Pâtisserie|Assaisonnements et condiments,Fruits et légumes|Fruits et légumes|Fruits et légumes|Produits laitiers|Produits laitiers|Produits laitiers|Épicerie salée|Épicerie sucrée|Produits de la mer|Épicerie salée|Épicerie sucrée|Épicerie salée,11,6,12,10,5,0,3,1,3,0,3,0,0,0,0,2,0
Wednesday 15/11/2017 11:20:44,Steak haché,Boucherie,Viandes,11,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday 14/11/2017 21:34:01,Oeufs|Lard|Eau|Jus de pomme|Jus d'orange|Papier toilette|Crêpes au chocolat|Gâteaux|Brioche|Bâtonnets de poisson,Laitages et oeufs|Charcuterie|Eau|Jus de fruits et sodas|Jus de fruits et sodas|Soin du corps|Petit déjeuner|Gâteaux|Viennoiseries|Plats préparés surgelés,Produits laitiers|Viandes|Boissons|Boissons|Boissons|Hygiène et beauté|Épicerie sucrée|Épicerie sucrée|Épicerie sucrée|Produits surgelés,21,2,10,9,6,1,1,0,0,0,0,1,1,3,0,3,0
Monday 06/11/2017 09:46:14,Bananes|Potimarron|Champignons|Carottes|Tomates cerise|Escalope de dinde|Bières|Eau|Sirop de grenadine|Jus de pomme|Galettes de blé noir|Haricots rouges|Galettes fajitas|Sauce fajitas|Bouillon de volailles|Gâteaux|Brioche|Bassine,Fruits|Légumes|Légumes|Légumes|Fruits|Boucherie|Bières et vins|Eau|Jus de fruits et sodas|Jus de fruits et sodas|Traiteur|Conserves salées|Produits du monde|Assaisonnements et condiments|Assaisonnements et condiments|Gâteaux|Viennoiseries|Accessoires d'entretien,Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Fruits et légumes|Viandes|Boissons|Boissons|Boissons|Boissons|Épicerie salée|Épicerie salée|Épicerie salée|Épicerie salée|Épicerie salée|Épicerie sucrée|Épicerie sucrée|Produits d'entretien,9,1,18,13,6,1,0,0,5,1,5,0,0,4,0,2,0
Saturday 04/11/2017 11:30:23,Saucisses|Escalope viennoise|Steak haché,Charcuterie|Traiteur|Boucherie,Viandes|Épicerie salée|Viandes,11,6,3,3,2,2,0,0,0,0,1,0,0,0,0,0,0
Friday 03/11/2017 18:00:53,Adoucissant|Brioche|Pain de mie|Fromage de chèvre|Fromage râpé|Oeufs|Yaourts|Beurre|Jambon|Disques coton|Tomates cerise|Pommes de terre|Oignon|Confiture|Escalope viennoise|Sauce tomate|Jus d'orange|Jus de pomme|Bières|Eau,Lavage|Viennoiseries|Pains|Fromages|Fromages|Laitages et oeufs|Crèmerie|Crèmerie|Charcuterie|Soin du corps|Fruits|Légumes|Bulbes|Petit déjeuner|Traiteur|Assaisonnements et condiments|Jus de fruits et sodas|Jus de fruits et sodas|Bières et vins|Eau,Produits d'entretien|Épicerie sucrée|Épicerie salée|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Produits laitiers|Viandes|Hygiène et beauté|Fruits et légumes|Fruits et légumes|Fruits et légumes|Épicerie sucrée|Épicerie salée|Épicerie salée|Boissons|Boissons|Boissons|Boissons,18,5,20,17,8,1,5,0,3,1,3,0,1,4,0,2,0
